"Id","Date Created","Shot > Sequence","Shot > Description","Motion description","Project",
"134042","2025/03/27 18:01:00","2025-03-25","Different locomotion while smoking a ciggarette - Idling, walking, waiting","idle while smoking-cigarette, standing leaning against the wall and smoking a cigarette with his right hand","crs",
"134039","2025/03/27 17:58:32","2025-03-25","Different locomotion while smoking a ciggarette - Idling, walking, waiting","smoking-cigarette, standing upright in one place, smoking a cigarette with his right hand","crs",
"134038","2025/03/27 17:57:28","2025-03-25","Different locomotion while smoking a ciggarette - Idling, walking, waiting","smoking-cigarette, standing upright in one place, smoking a cigarette with his right hand, taking one long puff","crs",
"134037","2025/03/27 17:56:24","2025-03-25","Different locomotion while smoking a ciggarette - Idling, walking, waiting","smoking-cigarette, walks a few steps forward at a leisurely pace, holds a cigarette in his right hand and smokes from the cigarette","crs",
"134035","2025/03/27 17:55:18","2025-03-25","Different locomotion while smoking a ciggarette - Idling, walking, waiting","smoking-cigarette, walks a few steps forward, holds a cigarette in his right hand, raises his hand and smokes","crs",
"134033","2025/03/27 17:38:41","2025-03-25","Taking a Polaroid photo: Loading film, Framing shot, Pressing shutter button, Waiting for photo to develop, Shaking photo (optional), Examining photo.","polaroid-photo, bends over and takes pictures with the camera","crs",
"134031","2025/03/27 17:38:03","2025-03-25","Taking a Polaroid photo: Loading film, Framing shot, Pressing shutter button, Waiting for photo to develop, Shaking photo (optional), Examining photo.","polaroid-photo, stands upright in one place, holds the camera in front of his eyes and takes pictures","crs",
"134030","2025/03/27 17:37:25","2025-03-25","Taking a Polaroid photo: Loading film, Framing shot, Pressing shutter button, Waiting for photo to develop, Shaking photo (optional), Examining photo.","polaroid-photo, standing upright in one place, holding the camera at a distance in front and taking a group selfie photo with his left hand","crs",
"134029","2025/03/27 17:36:19","2025-03-25","Taking a Polaroid photo: Loading film, Framing shot, Pressing shutter button, Waiting for photo to develop, Shaking photo (optional), Examining photo.","polaroid-photo, stands upright in one place, holds the camera at a distance from him, takes a few pictures, adjusts the settings","crs",
"134026","2025/03/27 17:35:24","2025-03-25","Taking a Polaroid photo: Loading film, Framing shot, Pressing shutter button, Waiting for photo to develop, Shaking photo (optional), Examining photo.","polaroid-photo, standing upright in one place, polaroid camera in front of eyes, taking pictures","crs",
"134025","2025/03/27 17:34:32","2025-03-25","Taking a Polaroid photo: Loading film, Framing shot, Pressing shutter button, Waiting for photo to develop, Shaking photo (optional), Examining photo.","polaroid-photo, walks forward slightly and raises the polaroid camera in front of his eyes, takes a few pictures","crs",
"134024","2025/03/27 17:26:31","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person standing up playing the guitar goes crazy shaking body up and down","crs",
"134023","2025/03/27 17:26:04","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on a chair, leaning back with elbows crossed in front of the body. Suspect is angry, mad, points at a document on the table and slams it, wants to leave the room and points at the door with the left hand. The suspect doesn't want to talk to the detective anymore.","crs",
"134022","2025/03/27 17:23:20","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on a chair, leaning back with elbows crossed in front of the body, grabbing a document from the detectives hand and throwing it away on the floor.","crs",
"134021","2025/03/27 17:23:08","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person standing up raising a leg playing the guitar, making emotion gestures and moves backward and foward","crs",
"134020","2025/03/27 17:22:13","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on a chair, leaning back with elbows crossed in front of the body, shaking head and refusing to accept some documents that the detective is handing over to them.","crs",
"134018","2025/03/27 17:21:35","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person standing up raising a leg playing the guitar making emotion gestures, bending back for a solo","crs",
"134017","2025/03/27 17:20:04","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is unwilling to talk, sitting on a chair with elbows crossed in front of the chest.","crs",
"134016","2025/03/27 17:19:29","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person standing up, playing the guitar with his right leg up on a chair","crs",
"134015","2025/03/27 17:18:39","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is laughing and not answering questions, leaning back with elbows crossed in front of the body as they explain something to the detective.","crs",
"134012","2025/03/27 17:15:50","2025-03-25","Experiencing food poisoning, feeling nauseous, vomiting, holding stomach.","poisoning, leaning against the wall, feeling pain and bending over","crs",
"134011","2025/03/27 17:15:23","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person sitting down playing the guitar curving back forward and backward","crs",
"134009","2025/03/27 17:14:31","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person sitting down playing the guitar shaking head and feet","crs",
"134008","2025/03/27 17:14:27","2025-03-25","Experiencing food poisoning, feeling nauseous, vomiting, holding stomach.","poisoning, feels discomfort and tries to vomit by leaning against the wall and leaning over, takes a step back, wiping moth with right hand","crs",
"134007","2025/03/27 17:14:16","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is more willing to talk to the detective, normal attitude.","crs",
"134005","2025/03/27 17:13:14","2025-03-25","Experiencing food poisoning, feeling nauseous, vomiting, holding stomach.","poisoning, kneeling on the ground, stands up slowly but experiences difficulty and discomfort","crs",
"134004","2025/03/27 17:12:47","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on a chair and talking to the detective as they walk around. Suspect is turning head right and left following the detective in the room. Suspect refuses to answer, leans back on the chair and bends forward to put hands on the table.","crs",
"134003","2025/03/27 17:12:17","2025-03-25","Experiencing food poisoning, feeling nauseous, vomiting, holding stomach.","poisoning, kneeling on the ground, experiencing discomfort and nausea, vomitting","crs",
"134002","2025/03/27 17:11:07","2025-03-25","Experiencing food poisoning, feeling nauseous, vomiting, holding stomach.","poisoning, holds his mouth with both hands, feels nauseous and throws up, then kneels down and feels nauseous again","crs",
"134001","2025/03/27 17:10:09","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person sitting down playing a guitar, looking up and down","crs",
"134000","2025/03/27 17:09:22","2025-03-25","Experiencing food poisoning, feeling nauseous, vomiting, holding stomach.","poisoning, holds mouth with right hand, holds stomach with left hand, feels nauseated and bends over to vomit","crs",
"133999","2025/03/27 17:09:19","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person sitting down playing a guitar solo","crs",
"133998","2025/03/27 17:08:52","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on a chair with elbows crossed in front of the body, listening to the detective but refusing to answer questions without a lawyer.Shaking head and sitting relatively still.","crs",
"133997","2025/03/27 17:06:55","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on a chair with elbows crossed in front of the body, listening to the detective but refusing to answer questions without a lawyer.","crs",
"133996","2025/03/27 17:06:44","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person sitting down adjusting the guitar on the leg, bending slightly forward","crs",
"133995","2025/03/27 17:05:51","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person sitting down playing the guitar","crs",
"133994","2025/03/27 17:04:35","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on a chair and crosses elbows in front of the body.","crs",
"133993","2025/03/27 17:04:30","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person sitting down playing the guitar, strumming strongly","crs",
"133992","2025/03/27 17:03:38","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting down, arguing and refusing to give answers to the detective. Suspect seems calm but in denial.","crs",
"133991","2025/03/27 17:01:52","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person warming up to play the guitar, checking how it sounds, lightly strumming","crs",
"133990","2025/03/27 16:59:55","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person sitting down preparing the guitar to be played, inserting audio cable","crs",
"133989","2025/03/27 16:59:39","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is arguing with the detective, moving their arms left and right to point at something. Suspect slams hands on table carefully.","crs",
"133988","2025/03/27 16:58:47","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person holding a guitar sitting down","crs",
"133987","2025/03/27 16:58:17","2025-03-25","Playing a guitar: Strumming chords, Fingerpicking, Tuning, Adjusting strap, Playing a solo, Playing with a pick, Playing with fingers.","Person picking up a guitar from the stand","crs",
"133986","2025/03/27 16:56:23","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on a chair and talking to the detective, refusing accusations. Suspect opens elbows, turning left and right with the head, arguing with the detective.","crs",
"133984","2025/03/27 16:54:59","2025-03-25","Pickpocketing: Approaching target, Distracting target, Stealing wallet/phone, Blending back into crowd, Checking stolen goods.","pick-pocket, walks forward and collides with a passing person, during the collision his wallet is stolen, continues walking forward with the stolen wallet","crs",
"133983","2025/03/27 16:54:57","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is leaning back on their chair, laughing at the detective's questions. Suddenly suspect bends forward and places elbows on the table, crossing fingers and denying accusations.","crs",
"133982","2025/03/27 16:54:19","2025-03-25","Pickpocketing: Approaching target, Distracting target, Stealing wallet/phone, Blending back into crowd, Checking stolen goods.","pick-pocket, stands upright on a bus, holds onto the handle with his left hand, reaches for a person's wallet in a crowd and steals it, then takes it and leaves","crs",
"133981","2025/03/27 16:53:21","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on a chair with elbows on the table and fingers crossed. Leans back on their seat and opens their arms when answering the questions.","crs",
"133979","2025/03/27 16:52:17","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on the table and grabs a paper to skim through it quickly. Refuses to respond to the detective's questions. Shaking head, performing small gestures with the hands and fingers. Suspect slides their hands on the table and leans back on the chair.","crs",
"133978","2025/03/27 16:52:01","2025-03-25","Pickpocketing: Approaching target, Distracting target, Stealing wallet/phone, Blending back into crowd, Checking stolen goods.","pick-pocket, standing behind a person and slowly reaching for their wallet to steal it, taking the wallet and walk forward","crs",
"133977","2025/03/27 16:48:03","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on a chair with elbows on the table. Suddenly stands up and walks forward to a camera filming them, Says something arrogant at the camera and goes back to their seat. Walking with confidence.","crs",
"133976","2025/03/27 16:44:34","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on a chair with elbows on the table in front of them. Fingers crossed and is answering the detective's questions without moving much.","crs",
"133974","2025/03/27 16:43:34","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect is sitting on a chair, doing neurotic movements with hands and feet while looking up to the detective. Listening to the detective but also kind of nervous and arrogant.","crs",
"133973","2025/03/27 16:42:36","2025-03-25","Sitting nervously, Answering questions, Avoiding eye contact, Lying, Telling the truth, Showing signs of guilt/innocence.","Suspect sitting down on a chair as the detective enters. Suspect puts hands on the table in front of them and crosses fingers to listen.","crs",
"133961","2025/03/27 15:52:08","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective is standing on the side of a table with the right hand on the counter. Detective is holding documents in the left hand and slams them in front of suspect and walks away.","crs",
"133960","2025/03/27 15:51:36","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective is grabbing a document from the table and showing it to the suspect.","crs",
"133959","2025/03/27 15:51:15","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective is bending down with hands placed on the table, leaning forward. Detective starts picking out objects from a drawer and placing them in front of the suspect. Detective is loosing patience with the suspect.","crs",
"133958","2025/03/27 15:50:04","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective is standing in place and walks forward closer to the suspect. Detective is pointing at something and arguing with the suspect, demanding answers.","crs",
"133957","2025/03/27 15:49:10","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective is standing next to the suspect and showing them something on a piece of paper. Pointing at important information with a pen, demanding answers and clarity. Detective turns in place and walks away.","crs",
"133952","2025/03/27 15:03:53","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person crouching to pick up a bag and walking backwards while looking at wall, observing his graffiti creation, stops to admire","crs",
"133951","2025/03/27 15:02:19","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person walking back observing and judging how well his graffiti came out, then walking towards the bag to pick something","crs",
"133950","2025/03/27 15:01:14","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person standing up checking surroundings before painting graffiti on a wall","crs",
"133949","2025/03/27 14:58:26","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person walking back looking at graffiti progress, checking results, looks to the right side and goes back to painting","crs",
"133948","2025/03/27 14:57:31","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person switching graffiti cans in the bag and walking back to wall","crs",
"133947","2025/03/27 14:56:10","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person standing up painting a graffiti on a wall in circles, takes a step back to observe results","crs",
"133946","2025/03/27 14:52:38","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person jumping to 
 reach a high place and paint graffiti on a wall","crs",
"133945","2025/03/27 14:51:01","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person sticking a cardboard on a wall to shape a graffiti","crs",
"133944","2025/03/27 14:48:33","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person grabbing a piece of cardboard to use as a guide to paint a graffiti on a wall","crs",
"133943","2025/03/27 14:47:55","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person standing up and crouching walking around a wall painting a graffiti","crs",
"133942","2025/03/27 14:46:09","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person standing up painting a graffiti on a wall, making a detail with a quick movement, then a wide motion to paint","crs",
"133941","2025/03/27 14:44:51","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person standing up raising arm high to paint graffiti on a high place","crs",
"133940","2025/03/27 14:44:23","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective bends down listening to the suspect, getting angry that there's no new information, starts grabbing objects and evidence from the table and placing them in the suspects hand trying to provoke them.","crs",
"133939","2025/03/27 14:43:32","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person walking backwards, shaking a graffiti can, checking his creation","crs",
"133938","2025/03/27 14:42:27","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person standing painting a graffiti on a wall sideways","crs",
"133937","2025/03/27 14:40:39","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person standing up painting a graffiti on a wall, slightly bent knees","crs",
"133936","2025/03/27 14:40:00","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective walks away from the table angry, making few steps forward, suddenly turning and going back to the table. Detective is pointing something with the right hand and then starts slamming the table multiple times.","crs",
"133935","2025/03/27 14:39:40","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person taking a step back to observe graffiti from a far and going back forward while shaking a graffiti can","crs",
"133934","2025/03/27 14:38:59","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person slightly crouched painting a graffiti on a wall","crs",
"133932","2025/03/27 14:37:50","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person slowly standing up while checking surroundings, holding a graffiti can","crs",
"133931","2025/03/27 14:37:22","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective is standing still with right hand on the table, shifts balance on the feet and grabs something from the table.","crs",
"133930","2025/03/27 14:37:15","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person crouched slowly starting a graffiti on a wall, making a wide line with his right hand","crs",
"133929","2025/03/27 14:36:27","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person crouched preparing to do graffiti, shaking can","crs",
"133928","2025/03/27 14:35:46","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person slowly crouching and checking surroundings holding a bag","crs",
"133927","2025/03/27 14:35:30","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective is bend down, listening to the suspects lies, laughs at them and looses patience.Making a step forward to listen.","crs",
"133926","2025/03/27 14:35:07","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person sneaking around, approaching a wall and dropping a bag on the floor","crs",
"133925","2025/03/27 14:33:24","2025-03-25","Graffiti art: Shaking spray can, Spraying paint, Creating a design, Looking out for police, Running away.","Person sneaking around a place stealthy, checking  if anybody is looking, about to do something illegal","crs",
"133924","2025/03/27 14:32:51","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective is bending down, hands are on the table with the body leaning forward, talking aggressively to the suspect, loosing patience and slamming hand on the table.","crs",
"133923","2025/03/27 14:29:12","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective is walking around the table, carefully avoids hitting the edge, stops in front of the suspect and slams both hands on the table, bending down.","crs",
"133922","2025/03/27 14:27:03","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective is standing in place talking and explaining to suspect something. Starts circling around the table and then stops on the other side.","crs",
"133921","2025/03/27 14:23:20","2025-03-25","Playing a fly-drum while sitting on a chair/bench, Playing while sitting on the ground","musician-fly-drum, musician playing fly-drum, sitting on the floor, lightly hitting the drum with his hands","crs",
"133920","2025/03/27 14:23:19","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective is walking around the table, talking to the suspect, pointing up with the right hand while holding something in the left hand.","crs",
"133918","2025/03/27 14:21:06","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Detective is standing in place, laughs and leans forward to pick up a piece of paper from the table. Uses the pencil in the left hand to note something and looks at the suspect again.","crs",
"133917","2025/03/27 14:20:47","2025-03-25","Playing a fly-drum while sitting on a chair/bench, Playing while sitting on the ground","musician-fly-drum, musician playing fly-drum, sitting on the floor, hitting the drum with his hands","crs",
"133916","2025/03/27 14:19:08","2025-03-25","Playing a fly-drum while sitting on a chair/bench, Playing while sitting on the ground","musician-fly-drum, musician playing fly-drum, sitting on the floor, playing a drum with his hands","crs",
"133915","2025/03/27 14:18:09","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Leaning on the table and standing back up to explain something. Moving arms a lot while talking to the suspect.Picking up evidence objects from the table and showing them to the suspect.","crs",
"133914","2025/03/27 14:16:21","2025-03-25","Playing a fly-drum while sitting on a chair/bench, Playing while sitting on the ground","musician-fly-drum, musician playing fly-drum, sit on a chair, plays a drum with his hands, hitting the drum with his hands","crs",
"133913","2025/03/27 14:14:48","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Leaning forward on the table with both hands. Pointing something for the suspect to see.","crs",
"133912","2025/03/27 14:13:48","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Leaning on a table with both hands, talking to the suspect and turning a page from the notebook for the suspect to read.","crs",
"133911","2025/03/27 14:13:47","2025-03-25","Playing a fly-drum while sitting on a chair/bench, Playing while sitting on the ground","musician-fly-drum, musician playing fly-drum, sit on a chair, plays a drum with his hands, hitting the drum with his hands","crs",
"133909","2025/03/27 14:11:19","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Standing in place in front of the suspect, leaning forward with both hands on the table. Talking to the suspect and pointing something with the right hand on a paper.","crs",
"133908","2025/03/27 14:10:23","2025-03-25","Playing a fly-drum while sitting on a chair/bench, Playing while sitting on the ground","musician-fly-drum, musician playing fly-drum, sit on a chair, makes some light movements by hitting the drum with his hands","crs",
"133907","2025/03/27 14:09:11","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Standing in place in front of the table. Sliding a piece of paper over to the suspect on the other side. Holding a pen in the left hand. Listening and moving slightly.","crs",
"133906","2025/03/27 14:07:06","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Standing in place, talking to suspect, holding notes and papers in hands. Observing and listening to suspect.","crs",
"133904","2025/03/27 14:03:33","2025-03-25","Interrogating a suspect, detective trying to get out a confession","Walking towards the suspect for questioning. Holding a notebook and looking at them.Stops in front of the table to read from notes.","crs",
"133897","2025/03/27 13:39:53","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person with binoculars walks forward and raises binoculars to watch in the distance","crs",
"133896","2025/03/27 13:37:47","2025-03-25","Playing drums: Hitting snare, Hitting bass drum, Hitting cymbals, Using drumsticks, Using brushes, Adjusting drum kit, Playing a drum solo, keeping the beat.","musician-drums, makes some light movements with the drum sticks, holds cymbal and hits it","crs",
"133895","2025/03/27 13:37:39","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person standing up with binoculars tells someone to watch around and gives indications to watch birds, hands them the binoculars","crs",
"133894","2025/03/27 13:36:11","2025-03-25","Playing drums: Hitting snare, Hitting bass drum, Hitting cymbals, Using drumsticks, Using brushes, Adjusting drum kit, Playing a drum solo, keeping the beat.","musician-drums, stands up and sits on the chair, hits the drums with his sticks, going crazy, moving to the beat","crs",
"133893","2025/03/27 13:34:19","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person standing up walking forward raising binoculars","crs",
"133892","2025/03/27 13:33:45","2025-03-25","Playing drums: Hitting snare, Hitting bass drum, Hitting cymbals, Using drumsticks, Using brushes, Adjusting drum kit, Playing a drum solo, keeping the beat.","musician-drums, sits and hits the drums with his sticks, stands up to gesture to the audience","crs",
"133891","2025/03/27 13:33:31","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person standing up watching with binoculars around, brings binoculars down in front of his chest and walks back","crs",
"133890","2025/03/27 13:32:43","2025-03-25","Playing drums: Hitting snare, Hitting bass drum, Hitting cymbals, Using drumsticks, Using brushes, Adjusting drum kit, Playing a drum solo, keeping the beat.","musician-drums, sits and hits the drums with his sticks, making strong hits","crs",
"133889","2025/03/27 13:31:27","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person standing up watching with binoculars, adjusts binoculars with arms, extends elbows while adjusting focus","crs",
"133888","2025/03/27 13:30:48","2025-03-25","Playing drums: Hitting snare, Hitting bass drum, Hitting cymbals, Using drumsticks, Using brushes, Adjusting drum kit, Playing a drum solo, keeping the beat.","musician-drums, sits and hits the drums with his sticks","crs",
"133887","2025/03/27 13:30:03","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person with binoculars watching in the distance while sitting on the ground, gets up to stand up","crs",
"133886","2025/03/27 13:28:42","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person sitting down, raising binoculars with one hand then another","crs",
"133885","2025/03/27 13:28:14","2025-03-25","Playing drums: Hitting snare, Hitting bass drum, Hitting cymbals, Using drumsticks, Using brushes, Adjusting drum kit, Playing a drum solo, keeping the beat.","musician-drums, sits and hits the drums with his sticks","crs",
"133884","2025/03/27 13:26:26","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person sitting down, putting down binoculars","crs",
"133883","2025/03/27 13:26:11","2025-03-25","Playing drums: Hitting snare, Hitting bass drum, Hitting cymbals, Using drumsticks, Using brushes, Adjusting drum kit, Playing a drum solo, keeping the beat.","musician-drums, sits down and starts playing drums, makes a few introductory drum beats","crs",
"133880","2025/03/27 13:24:55","2025-03-25","Playing drums: Hitting snare, Hitting bass drum, Hitting cymbals, Using drumsticks, Using brushes, Adjusting drum kit, Playing a drum solo, keeping the beat.","musician-drums, preparing to play drums, hits the sticks several times and makes 2-3 hits on the drum","crs",
"133879","2025/03/27 13:24:51","2025-03-25","Examining evidence, Taking photos, Dusting for fingerprints, Interviewing witnesses, Collecting clues, Searching for details.","Detective takes a step back with the left foot and takes a photo with the camera from a high angle.","crs",
"133878","2025/03/27 13:24:26","2025-03-25","Examining evidence, Taking photos, Dusting for fingerprints, Interviewing witnesses, Collecting clues, Searching for details.","Detective puts the evidence bag on the table, makes a step and takes a photo with both hands infront of the body.","crs",
"133876","2025/03/27 13:22:17","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person sitting down watching with binoculars, reacts by surprise from something at their right side","crs",
"133875","2025/03/27 13:21:07","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person sat down watching things in the distance with binoculars","crs",
"133874","2025/03/27 13:20:13","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person with binoculars sits down and watches in the distance","crs",
"133873","2025/03/27 13:19:00","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person standing watching birds with binoculars, puts down binoculars and reacting with love / cutesy","crs",
"133872","2025/03/27 13:18:12","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person standing with binoculars slowly observing things in front","crs",
"133871","2025/03/27 13:15:58","2025-03-25","Birdwatching: Holding binoculars, Focusing on birds, Identifying species, Taking notes, Sharing observations with others.","Person walking back watching birds with binoculars, reacting astonished","crs",
